Name,Barcode,Category,Company,Type,Price,MRP,Discount,Stock,Minimum Stock,Is Box Piece (Yes/No),Pieces Per Box,Box Barcode,Box Price,Box MRP,Box Discount
vanila 500 ml,8908004163306,ice cream,SONATA,ice cream,100,110,10,0,,No,,,0,0,0
vanila1000ml,8908004163177,ice cream,SONATA,ice cream,170,210,40,0,,No,,,,,
vanila 2000ml,,ice cream,SONATA,ice cream,270,320,50,0,,No,,,,,
vanila4000ml,8908004163214,ice cream,SONATA,ice cream,350,550,200,0,,No,,,,,
vanila5000ml,8908004163092,ice cream,SONATA,ice cream,400,625,225,0,,No,,,,,
vanila 100ml,,ice cream,SONATA,ice cream,20,20,0,0,,Yes,12,,220,240,20
vanila e cup,8908004163627,ice cream,SONATA,ice cream,10,10,0,0,,Yes,18,,160,180,20
spd 500ml,8908004163351,ice cream,SONATA,ice cream,130,170,40,0,,No,,,,,
spd 1000ml,8908004163603,ice cream,SONATA,ice cream,240,300,60,0,,No,,,,,
spd 4000ml,,ice cream,SONATA,ice cream,500,750,250,0,,No,,,,,
spd 100ml,8908004163924,ice cream,SONATA,ice cream,,,,0,,Yes,12,,330,360,30
butter 500ml,,ice cream,SONATA,ice cream,130,160,30,0,,No,,,,,
butter 1000ml,8908004163597,ice cream,SONATA,ice cream,240,290,50,0,,No,,,,,
butter 4000ml,8908004163245,ice cream,SONATA,ice cream,500,700,200,0,,No,,,,,
pista 500ml,8908004163191,ice cream,SONATA,ice cream,130,160,30,0,,No,,,,,
pista 1000ml,,ice cream,SONATA,ice cream,240,290,50,0,,No,,,,,
pista 4000ml,8908004163238,ice cream,SONATA,ice cream,500,700,200,0,,No,,,,,
chocolate 500ml,8908004163313,ice cream,SONATA,ice cream,130,150,20,0,,No,,,,,
chocolate 1000 ml,8908004163184,ice cream,SONATA,ice cream,240,270,30,0,,No,,,,,
chocolate 4000 ml,8908004163221,ice cream,SONATA,ice cream,500,625,125,0,,No,,,,,
